KEY,ChineseTraditional
SKILL_NAME_7510,進行審判！！
SKILL_NAME_7511,進行審判！！II
SKILL_NAME_7512,進行審判！！III
SKILL_NAME_7513,進行審判！！IV
SKILL_NAME_7520,借助力量！！
SKILL_NAME_7521,借助力量！！II
SKILL_NAME_7522,借助力量！！III
SKILL_NAME_7523,借助力量！！IV
SKILL_NAME_7530,終止痛苦！！
SKILL_NAME_7531,終止痛苦！！II
SKILL_NAME_7532,終止痛苦！！III
SKILL_NAME_7533,終止痛苦！！IV
SKILL_NAME_7540,祖先之力！！
SKILL_NAME_7541,祖先之力！！II
SKILL_NAME_7542,祖先之力！！III
SKILL_NAME_7543,祖先之力！！IV
SKILL_NAME_60007510,進行審判！！[光]
SKILL_NAME_60007511,進行審判！！[闇]
SKILL_NAME_60007520,借助力量！！[光]
SKILL_NAME_60007521,借助力量！！[闇]
SKILL_NAME_60007530,終止痛苦！！[光]
SKILL_NAME_60007531,終止痛苦！！[闇]
SKILL_NAME_60007540,祖先之力！！[光]
SKILL_NAME_60007541,祖先之力！！[闇]
SKILL_NAME_60007550,塔卡利斯[光]
SKILL_NAME_60007551,塔卡利斯[闇]
SKILL_DESC_7510,給予攻擊目標及其周遭的敵人[ffc800]{1}[-]魔法傷害，使其陷入暈眩[64ffff]{2}[-]秒，並回復範圍內友軍的生命值[ffc800]{3}[-]。[借助力量！！]發動時將重置此技能的冷卻時間，且使用此技能3次以內將不會產生冷卻時間。
SKILL_DESC_7511,傷害量增加[64ff64]{1}[-]%
SKILL_DESC_7512,傷害量增加[64ff64]{1}[-]%
SKILL_DESC_7513,傷害量增加[64ff64]{1}[-]%
SKILL_DESC_7520,[64ffff]{1}[-]秒內回復自身生命值[ffc800]{2}[-]、魔力{3}格及攻擊力增加[64ff64]{4}[-]。發動時若生命值全滿，將形成可抵擋[ffc800]{5}[-]傷害並對狀態異常免疫的防護罩[64ff64]{6}[-]秒。在友軍少於3名時，此效果將適用於我方全體。
SKILL_DESC_7521,攻擊力增加量增加[64ff64]{1}[-]%
SKILL_DESC_7522,攻擊力增加量增加[64ff64]{1}[-]%
SKILL_DESC_7523,攻擊力增加量增加[64ff64]{1}[-]%
SKILL_DESC_7530,攻擊任意敵人5次，總共造成[ffc800]{1}[-]魔法傷害，當目標為非英雄之敵人時，將額外給予[ffc800]{2}[-]魔法傷害。當自身處於[借助力量！！]狀態時，會優先攻擊攻擊力最高的敵人。
SKILL_DESC_7531,傷害量增加[64ff64]{1}[-]%
SKILL_DESC_7532,傷害量增加[64ff64]{1}[-]%
SKILL_DESC_7533,傷害量增加[64ff64]{1}[-]%
SKILL_DESC_7540,若自身生命值全滿，將增加攻擊力[64ff64]{1}[-]，未全滿則每秒回復體力[ffc800]{2}[-]。當遭受可導致死亡的傷害時，將消耗所有魔力形成可抵擋[ffc800]{3}[-]傷害並對狀態異常免疫的防護罩[64ff64]{4}[-]秒。防護罩效果持續期間內無法回復自身魔力。
SKILL_DESC_7541,攻擊力增加量提升[64ff64]{1}[-]%
SKILL_DESC_7542,攻擊力增加量提升[64ff64]{1}[-]%
SKILL_DESC_7543,攻擊力增加量提升[64ff64]{1}[-]%
SKILL_DESC_60007510,暈眩持續時間增加1秒。
SKILL_DESC_60007511,魔力消耗量減少1。
SKILL_DESC_60007520,發動時自身攻擊速度增加500。
SKILL_DESC_60007521,防護罩持續時間增加5秒。
SKILL_DESC_60007530,使用時對狀態異常免疫。
SKILL_DESC_60007531,傷害量增加40%
SKILL_DESC_60007540,治療率提高100%。
SKILL_DESC_60007541,自身生命值全滿時，每秒回復魔力300。
SKILL_DESC_60007550,攻擊力、防禦力、生命值+15%／暴擊率+100
