KEY,French
SKILL_DESC_91000110,[Lame de jugement] Réduit le temps de recharge de 30 % et augmente les DEG de 4 %. Cet effet peut se cumuler jusqu'à 10 fois.
SKILL_DESC_91000111,[Lame de jugement] Réduit le temps de recharge de 30 % et augmente les DEG de 4.8 %. Cet effet peut se cumuler jusqu'à 10 fois.
SKILL_DESC_91000112,[Lame de jugement] Réduit le temps de recharge de 30 % et augmente les DEG de 5.8 %. Cet effet peut se cumuler jusqu'à 10 fois.
SKILL_DESC_91000113,[Lame de jugement] Réduit le temps de recharge de 30 % et augmente les DEG de 7 %. Cet effet peut se cumuler jusqu'à 10 fois.
SKILL_DESC_91000114,[Lame de jugement] Réduit le temps de recharge de 30 % et augmente les DEG de 8.4 %. Cet effet peut se cumuler jusqu'à 10 fois.
SKILL_DESC_91000115,[Lame de jugement] Réduit le temps de recharge de 30 % et augmente les DEG de 10 %. Cet effet peut se cumuler jusqu'à 10 fois.
SKILL_DESC_91000210,[Lumière miraculeuse] Accélère la récupération de 50 % et immunise la cible contre les DEG pendant 1 sec.
SKILL_DESC_91000211,"[Lumière miraculeuse] Accélère la récupération de 50 % et immunise la cible contre les DEG pendant 1,2 sec."
SKILL_DESC_91000212,"[Lumière miraculeuse] Accélère la récupération de 50 % et immunise la cible contre les DEG pendant 1,4 sec."
SKILL_DESC_91000213,"[Lumière miraculeuse] Accélère la récupération de 50 % et immunise la cible contre les DEG pendant 1,7 sec."
SKILL_DESC_91000214,"[Lumière miraculeuse] Accélère la récupération de 50 % et immunise la cible contre les DEG pendant 2,1 sec."
SKILL_DESC_91000215,"[Lumière miraculeuse] Accélère la récupération de 50 % et immunise la cible contre les DEG pendant 2,5 sec."
SKILL_DESC_91000310,[Pointe de feu] Cible l'ennemi à l'ATQ la plus élevée et réduit son mana de 100 points.
SKILL_DESC_91000311,[Pointe de feu] Cible l'ennemi à l'ATQ la plus élevée et réduit son mana de 120 points.
SKILL_DESC_91000312,[Pointe de feu] Cible l'ennemi à l'ATQ la plus élevée et réduit son mana de 140 points.
SKILL_DESC_91000313,[Pointe de feu] Cible l'ennemi à l'ATQ la plus élevée et réduit son mana de 170 points.
SKILL_DESC_91000314,[Pointe de feu] Cible l'ennemi à l'ATQ la plus élevée et réduit son mana de 210 points.
SKILL_DESC_91000315,[Pointe de feu] Cible l'ennemi à l'ATQ la plus élevée et réduit son mana de 250 points.
SKILL_DESC_91000410,[Pas de pitié] Dissipe tous les effets négatifs qui pèsent sur le lanceur et restaure 200 points de mana à chaque coup critique.
SKILL_DESC_91000411,[Pas de pitié] Dissipe tous les effets négatifs qui pèsent sur le lanceur et restaure 240 points de mana à chaque coup critique.
SKILL_DESC_91000412,[Pas de pitié] Dissipe tous les effets négatifs qui pèsent sur le lanceur et restaure 290 points de mana à chaque coup critique.
SKILL_DESC_91000413,[Pas de pitié] Dissipe tous les effets négatifs qui pèsent sur le lanceur et restaure 350 points de mana à chaque coup critique.
SKILL_DESC_91000414,[Pas de pitié] Dissipe tous les effets négatifs qui pèsent sur le lanceur et restaure 420 points de mana à chaque coup critique.
SKILL_DESC_91000415,[Pas de pitié] Dissipe tous les effets négatifs qui pèsent sur le lanceur et restaure 500 points de mana à chaque coup critique.
SKILL_DESC_91000510,[Fracasser] Réduit l'ATQ de la cible de 20 % et augmente les DEG P qu'elle reçoit de 10 % pendant 10 sec.
SKILL_DESC_91000511,[Fracasser] Réduit l'ATQ de la cible de 20 % et augmente les DEG P qu'elle reçoit de 12% pendant 10 sec.
SKILL_DESC_91000512,[Fracasser] Réduit l'ATQ de la cible de 20 % et augmente les DEG P qu'elle reçoit de 14% pendant 10 sec.
SKILL_DESC_91000513,[Fracasser] Réduit l'ATQ de la cible de 20 % et augmente les DEG P qu'elle reçoit de 17% pendant 10 sec.
SKILL_DESC_91000514,[Fracasser] Réduit l'ATQ de la cible de 20 % et augmente les DEG P qu'elle reçoit de 21% pendant 10 sec.
SKILL_DESC_91000515,[Fracasser] Réduit l'ATQ de la cible de 20 % et augmente les DEG P qu'elle reçoit de 25% pendant 10 sec.
SKILL_DESC_91000610,[Collision] Réduit de 250 points la résistance aux contrôles de la cible et de 200 points son Blocage P pendant 10 sec.
SKILL_DESC_91000611,[Collision] Réduit de 250 points la résistance aux contrôles de la cible et de 240 points son Blocage P pendant 10 sec.
SKILL_DESC_91000612,[Collision] Réduit de 250 points la résistance aux contrôles de la cible et de 290 points son Blocage P pendant 10 sec.
SKILL_DESC_91000613,[Collision] Réduit de 250 points la résistance aux contrôles de la cible et de 350 points son Blocage P pendant 10 sec.
SKILL_DESC_91000614,[Collision] Réduit de 250 points la résistance aux contrôles de la cible et de 420 points son Blocage P pendant 10 sec.
SKILL_DESC_91000615,[Collision] Réduit de 250 points la résistance aux contrôles de la cible et de 500 points son Blocage P pendant 10 sec.
SKILL_DESC_91000710,[Tir rapide] Augmente les DEG infligés de {1}% et récupère {2} PM lors d'un coup critique.
SKILL_DESC_91000711,[Tir rapide] Augmente les DEG de 50 % et les DEG P reçus de 12 % pendant 10 sec.
SKILL_DESC_91000712,[Tir rapide] Augmente les DEG de 50 % et les DEG P reçus de 14 % pendant 10 sec.
SKILL_DESC_91000713,[Tir rapide] Augmente les DEG de 50 % et les DEG P reçus de 17 % pendant 10 sec.
SKILL_DESC_91000714,[Tir rapide] Augmente les DEG de 50 % et les DEG P reçus de 21 % pendant 10 sec.
SKILL_DESC_91000715,[Tir rapide] Augmente les DEG de 50 % et les DEG P reçus de 25 % pendant 10 sec.
SKILL_DESC_91000810,[Foudre] Ralentit la récupération de la cible de 30 % et réduit son mana de 100 points pendant 10 sec.
SKILL_DESC_91000811,[Foudre] Ralentit la récupération de la cible de 30 % et réduit son mana de 120 points pendant 10 sec.
SKILL_DESC_91000812,[Foudre] Ralentit la récupération de la cible de 30 % et réduit son mana de 140 points pendant 10 sec.
SKILL_DESC_91000813,[Foudre] Ralentit la récupération de la cible de 30 % et réduit son mana de 170 points pendant 10 sec.
SKILL_DESC_91000814,[Foudre] Ralentit la récupération de la cible de 30 % et réduit son mana de 210 points pendant 10 sec.
SKILL_DESC_91000815,[Foudre] Ralentit la récupération de la cible de 30 % et réduit son mana de 250 points pendant 10 sec.
SKILL_DESC_91000910,"[Souffle absorbant] À chaque ennemi vaincu, augmente les DEG de 20 % ainsi que l'ATQ de 20 % pendant 10 sec. L'augmentation de l'ATQ peut se cumuler jusqu'à 3 fois."
SKILL_DESC_91000911,"[Souffle absorbant] À chaque ennemi vaincu, augmente les DEG de 24 % ainsi que l'ATQ de 20 % pendant 10 sec. L'augmentation de l'ATQ peut se cumuler jusqu'à 3 fois."
SKILL_DESC_91000912,"[Souffle absorbant] À chaque ennemi vaincu, augmente les DEG de 29 % ainsi que l'ATQ de 20 % pendant 10 sec. L'augmentation de l'ATQ peut se cumuler jusqu'à 3 fois."
SKILL_DESC_91000913,"[Souffle absorbant] À chaque ennemi vaincu, augmente les DEG de 35 % ainsi que l'ATQ de 20 % pendant 10 sec. L'augmentation de l'ATQ peut se cumuler jusqu'à 3 fois."
SKILL_DESC_91000914,"[Souffle absorbant] À chaque ennemi vaincu, augmente les DEG de 42 % ainsi que l'ATQ de 20 % pendant 10 sec. L'augmentation de l'ATQ peut se cumuler jusqu'à 3 fois."
SKILL_DESC_91000915,"[Souffle absorbant] À chaque ennemi vaincu, augmente les DEG de 50 % ainsi que l'ATQ de 20 % pendant 10 sec. L'augmentation de l'ATQ peut se cumuler jusqu'à 3 fois."
SKILL_DESC_91001010,[Pluie de flèches] Réduit le coût en mana de 1 point et le temps de recharge de 1 sec.
SKILL_DESC_91001011,"[Pluie de flèches] Réduit le coût en mana de 1 point et le temps de recharge de 1,2 sec."
SKILL_DESC_91001012,"[Pluie de flèches] Réduit le coût en mana de 1 point et le temps de recharge de 1,4 sec."
SKILL_DESC_91001013,"[Pluie de flèches] Réduit le coût en mana de 1 point et le temps de recharge de 1,7 sec."
SKILL_DESC_91001014,"[Pluie de flèches] Réduit le coût en mana de 1 point et le temps de recharge de 2,1 sec."
SKILL_DESC_91001015,"[Pluie de flèches] Réduit le coût en mana de 1 point et le temps de recharge de 2,5 sec."
SKILL_DESC_91001110,[Tempête du corbeau] Confère l'immunité contre les contrôles pendant la durée de la compétence et réduit le mana de la cible de 100 points.
SKILL_DESC_91001111,[Tempête du corbeau] Confère l'immunité contre les contrôles pendant la durée de la compétence et réduit le mana de la cible de 120 points.
SKILL_DESC_91001112,[Tempête du corbeau] Confère l'immunité contre les contrôles pendant la durée de la compétence et réduit le mana de la cible de 140 points.
SKILL_DESC_91001113,[Tempête du corbeau] Confère l'immunité contre les contrôles pendant la durée de la compétence et réduit le mana de la cible de 170 points.
SKILL_DESC_91001114,[Tempête du corbeau] Confère l'immunité contre les contrôles pendant la durée de la compétence et réduit le mana de la cible de 210 points.
SKILL_DESC_91001115,[Tempête du corbeau] Confère l'immunité contre les contrôles pendant la durée de la compétence et réduit le mana de la cible de 250 points.
SKILL_DESC_91001210,[Baaaam!] Confère l'immunité contre les contrôles pendant la durée de la compétence et réduit la résistance Crit P de la cible de 200 points pendant 10 sec.
SKILL_DESC_91001211,[Baaaam!] Confère l'immunité contre les contrôles pendant la durée de la compétence et réduit la résistance Crit P de la cible de 240 points pendant 10 sec.
SKILL_DESC_91001212,[Baaaam!] Confère l'immunité contre les contrôles pendant la durée de la compétence et réduit la résistance Crit P de la cible de 290 points pendant 10 sec.
SKILL_DESC_91001213,[Baaaam!] Confère l'immunité contre les contrôles pendant la durée de la compétence et réduit la résistance Crit P de la cible de 350 points pendant 10 sec.
SKILL_DESC_91001214,[Baaaam!] Confère l'immunité contre les contrôles pendant la durée de la compétence et réduit la résistance Crit P de la cible de 420 points pendant 10 sec.
SKILL_DESC_91001215,[Baaaam!] Confère l'immunité contre les contrôles pendant la durée de la compétence et réduit la résistance Crit P de la cible de 500 points pendant 10 sec.
SKILL_DESC_91001310,"[Forêt de ronces] Réduit le coût en mana de 1 point et le temps de recharge de 0,8 sec."
SKILL_DESC_91001311,[Forêt de ronces] Réduit le coût en mana de 1 point et le temps de recharge de 1 sec.
SKILL_DESC_91001312,"[Forêt de ronces] Réduit le coût en mana de 1 point et le temps de recharge de 1,2 sec."
SKILL_DESC_91001313,"[Forêt de ronces] Réduit le coût en mana de 1 point et le temps de recharge de 1,4 sec."
SKILL_DESC_91001314,"[Forêt de ronces] Réduit le coût en mana de 1 point et le temps de recharge de 1,7 sec."
SKILL_DESC_91001315,[Forêt de ronces] Réduit le coût en mana de 1 point et le temps de recharge de 2 sec.
SKILL_DESC_91001510,[Sol déchiré] Augmente de 10 % les DEG P reçus par la cible pendant 10 sec et restaure 400 points de mana personnel à chaque ennemi touché.
SKILL_DESC_91001511,[Sol déchiré] Augmente de 12 % les DEG P reçus par la cible pendant 10 sec et restaure 400 points de mana personnel à chaque ennemi touché.
SKILL_DESC_91001512,[Sol déchiré] Augmente de 14 % les DEG P reçus par la cible pendant 10 sec et restaure 400 points de mana personnel à chaque ennemi touché.
SKILL_DESC_91001513,[Sol déchiré] Augmente de 17 % les DEG P reçus par la cible pendant 10 sec et restaure 400 points de mana personnel à chaque ennemi touché.
SKILL_DESC_91001514,[Sol déchiré] Augmente de 21 % les DEG P reçus par la cible pendant 10 sec et restaure 400 points de mana personnel à chaque ennemi touché.
SKILL_DESC_91001515,[Sol déchiré] Augmente de 25 % les DEG P reçus par la cible pendant 10 sec et restaure 400 points de mana personnel à chaque ennemi touché.
SKILL_DESC_91001610,[Guérison spirituelle] Réduit le coût en mana de 1 point et augmente la précision des contrôles de la cible de 100 points pendant la durée de la compétence.
SKILL_DESC_91001611,[Guérison spirituelle] Réduit le coût en mana de 1 point et augmente la précision des contrôles de la cible de 120 points pendant la durée de la compétence.
SKILL_DESC_91001612,[Guérison spirituelle] Réduit le coût en mana de 1 point et augmente la précision des contrôles de la cible de 140 points pendant la durée de la compétence.
SKILL_DESC_91001613,[Guérison spirituelle] Réduit le coût en mana de 1 point et augmente la précision des contrôles de la cible de 170 points pendant la durée de la compétence.
SKILL_DESC_91001614,[Guérison spirituelle] Réduit le coût en mana de 1 point et augmente la précision des contrôles de la cible de 210 points pendant la durée de la compétence.
SKILL_DESC_91001615,[Guérison spirituelle] Réduit le coût en mana de 1 point et augmente la précision des contrôles de la cible de 250 points pendant la durée de la compétence.
