KEY,"English"
SKILL_NAME_7510,"Judgment Upon Them!"
SKILL_NAME_7511,"Judgment Upon Them! II"
SKILL_NAME_7512,"Judgment Upon Them! III"
SKILL_NAME_7513,"Judgment Upon Them! IV"
SKILL_NAME_7520,"Grant Me Strength!"
SKILL_NAME_7521,"Grant Me Strength! II"
SKILL_NAME_7522,"Grant Me Strength! III"
SKILL_NAME_7523,"Grant Me Strength! IV"
SKILL_NAME_7530,"May Their Agony End!"
SKILL_NAME_7531,"May Their Agony End! II"
SKILL_NAME_7532,"May Their Agony End! III"
SKILL_NAME_7533,"May Their Agony End! IV"
SKILL_NAME_7540,"Might of the Ancestors!"
SKILL_NAME_7541,"Might of the Ancestors! II"
SKILL_NAME_7542,"Might of the Ancestors! III"
SKILL_NAME_7543,"Might of the Ancestors! IV"
SKILL_NAME_60007510,"Judgment Upon Them! [Light]"
SKILL_NAME_60007511,"Judgment Upon Them! [Dark]"
SKILL_NAME_60007520,"Grant Me Strength! [Light]"
SKILL_NAME_60007521,"Grant Me Strength! [Dark]"
SKILL_NAME_60007530,"May Their Agony End! [Light]"
SKILL_NAME_60007531,"May Their Agony End! [Dark]"
SKILL_NAME_60007540,"Might of the Ancestors! [Light]"
SKILL_NAME_60007541,"Might of the Ancestors! [Dark]"
SKILL_NAME_60007550,"Dakaris [Light]"
SKILL_NAME_60007551,"Dakaris [Dark]"
SKILL_DESC_7510,"Deals [ffc800]{1}[-] M. DMG to the target and enemies nearby, stunning them for [64ffff]{2}[-] sec and healing allies within the range by [ffc800]{3}[-] HP. Activating [Grant Me Strength!] will reset Cooldown of this Skill, and remove Cooldown up to 3 Skill uses."
SKILL_DESC_7511,"Increases DMG by [64ff64]{1}[-]%."
SKILL_DESC_7512,"Increases DMG by [64ff64]{1}[-]%."
SKILL_DESC_7513,"Increases DMG by [64ff64]{1}[-]%."
SKILL_DESC_7520,"Over [64ffff]{1}[-] sec, heals own HP by [ffc800]{2}[-] and recovers {3} orbs of Mana, increasing ATK by [64ff64]{4}[-] for the duration. If own HP is full when the Skill is used, blocks [ffc800]{5}[-] DMG and casts a shield that grants CC Immunity, lasting for [64ff64]{6}[-] sec. If there are 3 or less allies, this effect will apply to all allies."
