KEY,Korean
CHAPTER1_TITLE,챕터 1. 여정의 시작
CHAPTER2_TITLE,챕터 2. 계승
CHAPTER3_TITLE,챕터 3. 칼끝의 방향
CHAPTER4_TITLE,챕터 4. 덮쳐오는 어둠
CHAPTER5_TITLE,챕터 5. 안개 속의 여왕
CHAPTER6_TITLE,챕터 6. 금빛으로 물든 어둠
CHAPTER7_TITLE,챕터 7. 빛의 길
CHAPTER8_TITLE,챕터 8. 지옥의 문
CHAPTER9_TITLE,챕터 9. 판데모니움
CHAPTER95_TITLE,최종장
CHAPTER1_BACKGROUND,왕의 평원
CHAPTER2_BACKGROUND,엘리도라 숲
CHAPTER3_BACKGROUND,오그리아 고산지
CHAPTER4_BACKGROUND,갈루아 평원
CHAPTER5_BACKGROUND,아로뷔나 해안
CHAPTER6_BACKGROUND,아에기나 사막
MAP_LAMUS_PLAIN,왕의 평원
MAP_ELLIDORA_FOREST,엘리도라 숲
MAP_KRAD_MOUNTAIN,오그리아 고산지
MAP_KRAD_FOREST,갈루아 평원
MAP_SICRAKAM_PLAIN,아로뷔나 해안
MAP_HALLA_DESERT,아에기나 사막
MAP_BALLUTUA_SNOW_MOUNTAIN,빈트란트 설산
MAP_DIZARSTOM_VOLCANO,드라기아 화산
MAP_GARGOSS_SWAMP,가르고스 늪지대
MAP_Mysterious_Ruins,수수께끼 유적
MAP_ Realm_Empire,제국령
MAP_ OrvelianCapital_ Orvel,수도 오르벨
MAP_ LandofDeath_Galua,죽음의 땅 갈루아
MAP_Border,국경지대
MAP_Border_Outskirts,국경지대 외각.
MAP_Imperial_Office,제국 집무실
MAP_Present,현재
MAP_Past,과거
TITLE_DARKNESS,어둠의
HERO_GROUP_1,클레오 & 로이
HERO_GROUP_2,일행
HERO_GROUP_3,루나 & 메이
HERO_GROUP_4,루나 & 얀느
HERO_GROUP_5,아이샤 & 아르테미아
HERO_GROUP_6,병사 1 & 2
HERO_GROUP_7,오크 부대
HERO_GROUP_8,에피스 & 제인
HERO_GROUP_9,반푼이
HERO_GROUP_10,서큐버스
HERO_GROUP_11,테오&???
HERO_GROUP_12,샤밀라
HERO_GROUP_13,에제키엘 & 비스카
HERO_GROUP_14,실험체
HERO_GROUP_15,데미아 & 클라우스
HERO_GROUP_16,로지나 & 루나
HERO_GROUP_17,레퀴나 & 메디아나
HERO_GROUP_18,아셀리카 & 아르크
HERO_GROUP_19,미르르 & 라크락
HERO_GROUP_20,디마엘 & 에제키엘
HERO_GROUP_21,디마엘 & 셀레네
HERO_GROUP_22,레피 & 오디
HERO_GROUP_23,흑기사 일동
HERO_GROUP_24,에제키엘 & 비스카 (?)
HERO_GROUP_25,소니아 & 미리안느
HERO_GROUP_26,릴리아 & 네락시스
HERO_GROUP_27,크로우&테오
HERO_GROUP_28,에제키엘&미트라
HERO_GROUP_29,판시로네&미트라
HERO_GROUP_30,리카르도 & 데미아
HERO_GROUP_31,자피르 & 라우디아
HERO_GROUP_32,레오 & 클라우스
HERO_GROUP_33,클라우스 & 로만
HERO_GROUP_34,체이스 & 레오
HERO_GROUP_35,닉스&오디
HERO_GROUP_36,스칼렛&아르테미아
HERO_GROUP_37,네락시스&릴리아
HERO_GROUP_38,메이 & 레퀴나
HERO_GROUP_39,리카르도 & 미리안느
HERO_GROUP_40,플루스 & 크리샤
HERO_GROUP_41,테오 & 에제키엘
HERO_GROUP_42,미트라 & 로지나
HERO_GROUP_43,프레이&카셀
HERO_GROUP_44,프레이 & 클레오
HERO_GROUP_45,글렌위스 & 크리샤
